nome,instagram,categoria_principal,categorias_exibicao,subcategoria_final,acao_sugerida,observacao,posts_no_ano,ultimo_post,telefone,endereco,ja_no_guia,resumo,links_posts
Bichobatata Brinquedos,@bichobatata_brinquedos,Infantil & Familia,Infantil & Familia | Lojas & Presentes,Loja de brinquedos,Listar,,3,2025-12-02,11913608956,"Rua Palestina, 435",não,"Se você ainda não garantiu os presentes de Natal para a criançada, a @bichobatata_brinquedos é a nossa sugestão. 🎁🎅 A loja fica aqui no bairro e é impossível não se encantar com a seleção especial de brinquedos educativos, pedagógicos e inclusivos que eles oferecem.🧩🧸 De dominó em braille a bingo em libras, além de muitos outros jogos para diferentes idades, cada produto valoriza a fabricação nacional e entrega quali",https://www.instagram.com/p/DRw-dhmjsnw/; https://www.instagram.com/p/DQ47QZXDjGE/; https://www.instagram.com/p/DPYwq04jsNK/
Buffet Vale Da Diversao,@buffet.vale.da.diversao,Infantil & Familia,Infantil & Familia | Festas & Eventos,Buffet infantil,Listar,,5,2026-01-10,11988041477,"Rua Emílio de Sousa Docca, 615",não,"🎫 BLOQUINHO DE CARNAVAL INFANTIL DIA 17/02 DAS 15H ÀS 19H O @buffet.vale.da.diversao fica aqui pertinho da gente, na Catarina, e é o único 100% lúdico da região, sem eletrônicos. 🤩🥳🛝 Lá, os pequenos podem se divertir em brinquedos como cama elástica, pula-pula, piscina de bolinhas e até uma quadra esportiva, enquanto os adultos também se divertem com eles. 🎂🎈 Além disso, o @buffet.vale.da.diversao oferece um atendime",https://www.instagram.com/p/DTVMj66joPu/; https://www.instagram.com/p/DR7A574DjbL/; https://www.instagram.com/p/DQg3odgjuU7/; https://www.instagram.com/p/DMAdwSdOVJ4/; https://www.instagram.com/p/DK4cfc1uBtZ/
Calmy Clínica,@calmyclinica,Infantil & Familia,Saude & Clinicas | Infantil & Familia,Clínica multidisciplinar,Listar,,7,2026-04-21,11945828169; 11966137878,"Avenida Damasceno Vieira, 699",não,"🎫 CONDIÇÕES ESPECIAIS PARA OS NOSSOS SEGUIDORES A @calmyclinica é uma referência em diagnóstico e intervenções voltadas ao público infantil, e fica aqui bem pertinho da gente. ☺️💞 São diversas áreas essenciais para o desenvolvimento: fonoaudiologia, psicologia, terapia alimentar, terapia ocupacional, neuropsicologia, psicopedagogia, psicomotricidade e também suporte psicoterapêutico para os pais e responsáveis. 🧠 A c",https://www.instagram.com/p/DXaC4xFjvWt/; https://www.instagram.com/p/DWUiac1hG5L/; https://www.instagram.com/p/DVGqp9ljhGp/; https://www.instagram.com/p/DRc8xggDvOR/; https://www.instagram.com/p/DPhauOmjk9a/; https://www.instagram.com/p/DO6ykNgjpox/; https://www.instagram.com/p/DL3EEQuubG2/
Eespaconeuroaprender,@eespaconeuroaprender,Infantil & Familia,Saude & Clinicas | Infantil & Familia,Infantil & Familia,Listar,,3,2025-12-13,11989024490,"Rua Engenheiro Jorge Oliva, 238",não,"🎫 10% OFF PARA OS NOSSOS SEGUIDORES Nessas férias, tem uma opção que deixa a criançada feliz da vida pertinho da gente: o day use do @eespaconeuroaprender!🛝😍🥳 Arrasta pro lado pra ver. 👉 Por lá, tudo foi pensado com carinho para o desenvolvimento e aprendizado infantil. 🧠🌈 Além do Day Use no @eespaconeuroaprender, as crianças encontram um ambiente preparado para avaliação e intervenção, com foco no desenvolvimento co",https://www.instagram.com/p/DSNEH7kDh1S/; https://www.instagram.com/p/DRKWOeXjk25/; https://www.instagram.com/p/DQWzGDNjn5W/
Espacosallesxavier,@espacosallesxavier,Infantil & Familia,Servicos para Casa | Infantil & Familia,Reformas,Listar,,1,2025-06-13,11914268634,"Avenida Damasceno Vieira, 1027 - Sala 03",não,"🎫 10% OFF PARA AS NOSSAS SEGUIDORAS O @espacosallesxavier que fica aqui na Mascote, é aquele lugar que conquista pelo cuidado nos mínimos detalhes, moderno, aconchegante e cheio de serviços que deixam a gente ainda mais linda.💅🏻💖 Tem manicure, pedicure, lash lifting, design de sobrancelhas, makes incríveis e produtos de altíssima qualidade. E ainda tem um espaço exclusivo para a criançada: o SPA KIDS. O atendimento t",https://www.instagram.com/p/DK2EjvnOUYt/
Guigojj Vilamascote,@guigojj_vilamascote,Infantil & Familia,"Academias, Esportes & Bem-Estar | Infantil & Familia",Academia/Fitness,Listar,,1,2025-08-22,11999098337,"Av. Mascote, 1535",não,"🎫15% OFF EM QUALQUER PLANO ATÉ 15 DE SETEMBRO ⚠️NOVIDADE NA MASCOTE⚠️ A academia de Jiu-Jitsu @guigojj_vilamascote (filial da Guigo Jiu-Jitsu) acabou de inaugurar com um espaço amplo, com infraestrutura completa e ainda equipado com os melhores aparelhos de Crossfit.🥋🏋🏻‍♂️ As aulas acontecem no período da tarde e da noite, para todas as idades e níveis, infantil e adulto, masculino e feminino, do iniciante ao avançad",https://www.instagram.com/p/DNqVp64O4yR/
Institutogabioficial,@institutogabioficial,Instituicoes & Comunidade,Instituicoes & Comunidade,Instituicao / comunidade,Listar,,3,2025-10-19,1150311765; 11991567835; 11975651750,"Rua Palacete das Águias, 735; av. mascote, 1317), com uma tarde cheia de união, solidariedade e alegria. o objetivo? preparar uma festa inesquec; E pra esse sonho acontecer, no dia *12 de outubro* tem Bingo Beneficente no Buffet Reuss, bem aqui na Av. Mascote, 1317. Será uma tarde de união, solidariedade e muita alegria no nosso bairro!; Av. Mascote, 1317. Será uma tarde de união, solidariedade e muita alegria no nosso bairro!",sim,"Quando a dor vira propósito! O @institutogabioficial é um verdadeiro exemplo de amor e dedicação ao próximo! ❤️ Conheça o Gabi! “QUEM AJUDA AS PESSOAS É FELIZ” @negociosapartets Sede do Instituto Gabi: 📍Rua Palacete das Águias, 735 Vila Alexandria São Paulo SP ☎️(11) 5031-1765 📱 (11) 99156-7835",https://www.instagram.com/p/DQAcEEYjv7G/; https://www.instagram.com/p/DPb-etkDho-/; https://www.instagram.com/p/DO3ZRldjrKs/
Paroquianspsestarosalia,@paroquianspsestarosalia,Instituicoes & Comunidade,Instituicoes & Comunidade,Instituicao / comunidade,Listar,,2,2026-04-04,,"Foi só um susto na @paroquianspsestarosalia , mas a situação foi resolvida rapidamente com a ajuda dos bombeiros e da polícia que isolou a área. Um fio externo de energia do muro da igreja, na rua Paslestina, pegou fogo e percorreu a fiação. A igreja foi evacuada por conta da fumaça. Ninguém se feriu.",não,"Agora pelas ruas da Mascote: Procissão do Senhor Morto, realizada pela @paroquianspsestarosalia",https://www.instagram.com/p/DWsIW7ijgcs/; https://www.instagram.com/p/DV6b6kljlLG/
Bazardoinstitutogabi,@bazardoinstitutogabi,Lojas & Presentes,Lojas & Presentes | Instituicoes & Comunidade,Instituicao / comunidade,Listar,,1,2026-04-26,,"Av. Sta Catarina, 324",não,"Comprar também pode ser um ato de amor 💙✨ Aqui na região o @bazardoinstitutogabi une estilo, economia e solidariedade em um só lugar. Cada compra realizada no bazar se transforma em uma boa ação, com toda a renda destinada integralmente ao atendimento de pessoas com deficiência e autismo. Além de encontrar peças incríveis, você também contribui para transformar vidas e apoiar quem realmente precisa. E tem mais: todas",https://www.instagram.com/p/DXmPiNADmVp/
Musicinplay,@musicinplay,Lojas & Presentes,Lojas & Presentes,Loja de musica,Listar,,1,2025-11-04,11914986096,"Rua Palestina, 234",não,"A @musicinplay, que já tem uma unidade aqui na Mascote, acaba de dar mais um passo no seu universo musical e apresenta a Inplay Music Store, uma loja de instrumentos criada por quem realmente vive e respira música. 🎸😍 Por lá dá pra encontrar instrumentos novos e seminovos cuidadosamente selecionados: guitarras, pianos, teclados, baterias, violões, acessórios e muito mais. 🎹🎵 A loja é integrada à escola de música, um ",https://www.instagram.com/p/DQo5a9NDmbJ/
Chefviking Boutiquedecarnes,@chefviking_boutiquedecarnes,"Mercados, Emporios & Conveniencia","Mercados, Emporios & Conveniencia | Gastronomia & Delivery",Boutique de carnes,Listar,,3,2026-04-11,11916560322,"Rua Palacete das Águias, 687",não,"Você precisa experimentar o hambúrguer viking da @chefviking_boutiquedecarnes! 😋 Ele tem um sabor único e é uma exclusividade aqui do bairro que você não encontra em nenhum outro lugar. 🍔✨ Além do hambúrguer, a casa trabalha com cortes Black Angus e diversas opções de carnes nobres, sempre com aquele atendimento humanizado e personalizado. Você pode escolher entre viver a experiência completa no local ou levar a qual",https://www.instagram.com/p/DW_brA5DivG/; https://www.instagram.com/p/DV3TZfhjh_Q/; https://www.instagram.com/p/DUtifMgjtra/
Grao Da Mascote,@grao_da_mascote,"Mercados, Emporios & Conveniencia","Mercados, Emporios & Conveniencia | Cafes, Padarias & Doces",Emporio,Listar,,1,2025-10-17,11932323859,"Av. Mascote, 867",não,"🎫 CUPOM BEMVINDO10 10% OFF NA PRIMEIRA COMPRA 🛒✨ Agora a Mascote tem um Empório que é puro bem-estar! 💚 O @grao_da_mascote é aquele espaço pensado com carinho pra quem busca saúde, sabor e qualidade no dia a dia. Você encontra: 🌾 mais de 350 itens a granel 🥛 produtos sem glúten e sem lactose 🥬 feira orgânica com hortifrútis fresquinhos toda quinta-feira 🍷 vinhos e cafés orgânicos 🍗 frango orgânico congelado 🌸 óleos e",https://www.instagram.com/p/DP7OryDDvz9/
Graoda Mascote1,@graodamascote1,"Mercados, Emporios & Conveniencia","Mercados, Emporios & Conveniencia",Hortifruti / organicos,Listar,,1,2025-11-17,11932323859,"Av. Mascote, 867 – Vila Mascote, São Paulo/SP",não,"👉 Entrega GRATUITA da feira orgânica nos 3 primeiros meses para endereços em até 7 km da Vila Mascote! Seus hortifrútis fresquinhos chegando na sua casa com todo cuidado 🥕🌿💚 O Empório Grão da Mascote chegou trazendo bem-estar, sabor e muita qualidade pro nosso dia a dia e já conquistou o bairro! 💚 O @graodamascote1 é aquele espaço pensado com carinho pra quem busca saúde, sabor e produtos selecionados: 🌾 mais de 400 ",https://www.instagram.com/p/DRLNP4wjoWk/
Vemdahortasp,@vemdahortasp,"Mercados, Emporios & Conveniencia","Mercados, Emporios & Conveniencia",Hortifruti,Listar,,3,2025-12-16,11989428080,"Rua das Flechas, 739 - Jardim Prudência",não,"🎫 10% OFF NA PRIMEIRA COMPRA NA LOJA Se você busca alimentos saudáveis e fresquinhos para as suas ceias, a @vemdahortasp é uma ótima opção. 🍓😉 A loja que fica no Jardim Prudência, trabalha com produtos 100% orgânicos e certificados: frutas, verduras, legumes, ovos, grãos, farinhas, doces, itens de cozinha, plantas, flores e até carnes. Além disso, a mercearia tem um atendimento superatencioso, especializado e cheio d",https://www.instagram.com/p/DSVk6Y0gYRX/; https://www.instagram.com/p/DRR3m3BDk_E/; https://www.instagram.com/p/DQKlTfsDtcm/
Camarimstar,@camarimstar,"Moda, Calcados & Acessorios","Moda, Calcados & Acessorios | Lojas & Presentes",Moda feminina,Listar,,3,2026-05-07,11983388038,"Av. Mascote, 997 Vila Mascote São Paulo/SP; Av. Mascote, 997 – Vila Mascote | São Paulo/SP",não,"O Dia das Mães está chegando e a nossa dica de hoje para quem mora na Vila Mascote é a @camarimstar! ✨💖 A loja está repleta de peças incríveis, cheias de elegância, charme e personalidade. Daquelas lojas que a gente entra e quer levar tudo! 👗🌸 E nesta sexta e sábado (8 e 9/05) vai acontecer um coquetel especial em homenagem ao Dia das Mães, deixando a experiência ainda mais gostosa. 🥂✨ A Diva, proprietária da loja, p",https://www.instagram.com/p/DYDk4P2u2Ol/; https://www.instagram.com/p/DVhM5fUjju5/; https://www.instagram.com/p/DUgx-cmjgyg/
Crescente Store,@crescente.store,"Moda, Calcados & Acessorios","Moda, Calcados & Acessorios",Moda feminina,Listar,,1,2025-06-14,11991536097,"Av. Mascote, 84 – loja 3 (entrada pela Rua Tianguá) Vila Mascote SP",não,"✨ A Crescente Store convida você para viver uma experiência de moda única na Vila Mascote! A @crescente.store é especializada em roupas e acessórios pra meninas e meninos dos 10 aos 18 anos. Um espaço cheio de estilo, com peças modernas e cheias de personalidade — tudo que os jovens adoram! 👗👕🧢👜 Quem já ama as peças online vai se encantar ainda mais com a loja física! É o lugar perfeito para sentir de perto as tendên",https://www.instagram.com/p/DK5W6X1xOfk/
Garimpodesmeralda,@garimpodesmeralda,"Moda, Calcados & Acessorios","Moda, Calcados & Acessorios | Lojas & Presentes",Brecho boutique,Listar,,1,2025-11-05,11992254276,"Rua Palestina, 407 – Vila Mascote",não,"✨ Dica boa pra quem mora na Mascote e adora garimpar achadinhos especiais! 🌸 O @garimpodesmeralda é um brechó boutique de moda circular que une beleza, consciência e charme em cada detalhe 🌿 No Garimpo d’Esmeralda dá pra encontrar roupas em ótimo estado, muitas de grife e até com etiqueta! 💚 A loja já tá prontinha pra primavera, com looks leves, coloridos e cheios de estilo. Um espaço que vale muito a visita pra quem",https://www.instagram.com/p/DQrOIzPjsGj/
Hering_vilamascote,@hering_vilamascote,"Moda, Calcados & Acessorios","Moda, Calcados & Acessorios",Moda,Listar,,1,2025-12-10,1155629348,"Rua Jovina, 192 – Vila Mascote",sim,"[🚨É NESTE DOMINGO!] Quem mora na Vila Mascote não precisa enfrentar correria de shopping pra resolver os presentes de Natal. A Hering Vila Mascote (@hering_vilamascote) preparou tudo pra facilitar a vida de quem quer se antecipar. No próximo domingo, dia 14, do meio dia às 16h, rola um coquetel especial pra você escolher com calma. As peças começam em 59,99 e têm opções femininas, masculinas, infantis, íntimas e espo",https://www.instagram.com/p/DSGNotuAR_d/
Hope Vilamascote,@hope.vilamascote,"Moda, Calcados & Acessorios","Moda, Calcados & Acessorios",Lingerie / moda,Listar,,16,2026-05-06,11910984249,"Rua Palestina, 178 – Vila Mascote, São Paulo/SP; Rua Palestina, 178; Rua Palestina, 178 – Vila Mascote São Paulo/SP",não,"Dia das Mães chegando… e já bate aquela vontade de surpreender com um presente especial, né? 💝✨ A @hope.vilamascote preparou uma seleção linda pra deixar esse momento ainda mais inesquecível! Tem lingerie, pijamas e peças confortáveis que unem beleza, qualidade e aquele toque de carinho que toda mãe merece. 🌷 É o tipo de presente que vai além do óbvio. É cuidado, autoestima e amor em forma de detalhe. 💖 Passa na loja",https://www.instagram.com/p/DX-gCkNuOev/; https://www.instagram.com/p/DW4qpB8CS5f/; https://www.instagram.com/p/DVegXPOjgS_/; https://www.instagram.com/p/DUorH9qjqkW/; https://www.instagram.com/p/DTxo39VjtZr/; https://www.instagram.com/p/DSxhv6uDsvW/; https://www.instagram.com/p/DSXnO7LjmbN/; https://www.instagram.com/p/DRprx3PDhVm/; https://www.instagram.com/p/DRAhmjIDt-y/; https://www.instagram.com/p/DQfRV2Qjtbs/; https://www.instagram.com/p/DPq-NnijrLv/; https://www.instagram.com/p/DO06r3BDuV7/; https://www.instagram.com/p/DNCHVKqMIJp/; https://www.instagram.com/p/DMVJqzJMBDZ/; https://www.instagram.com/p/DLdnTzuMuAQ/; https://www.instagram.com/p/DKu-K5lx2R8/
Infinita Outlet,@infinita_outlet,"Moda, Calcados & Acessorios","Moda, Calcados & Acessorios",Outlet,Listar,,1,2025-11-02,11953890159,"Av. Mascote, 859",não,"✨ Elegância, exclusividade e moda autoral por aqui! ✨ A @infinitastore possui 8 unidades e a da Vila Mascote, é referência na região. Atendimento acolhedor, peças sofisticadas e uma experiência de compra que faz toda a diferença. 💖 🌟 Diferencial que só tem por lá: É a única unidade com OUTLET, trazendo peças de coleções anteriores com descontos que podem chegar a 50% OFF. 🔥 E a Black Friday promete ainda mais! Na com",https://www.instagram.com/p/DQkF0QYjmOc/
Infinitastore,@infinitastore,"Moda, Calcados & Acessorios","Moda, Calcados & Acessorios",Moda feminina,Listar,,1,2025-12-04,11953890159,"Av. Mascote, 859 – Vila Mascote",não,"✨ Festas de fim de ano chegando… e a elegância mora aqui na Vila Mascote! ✨ A @infinitastore já é referência por aqui quando o assunto é moda autoral, peças sofisticadas e aquele atendimento acolhedor que faz toda a diferença! 💖 🌟 Com a temporada de festas batendo na porta, a @infinita_outlet vira destino certeiro pra quem quer brilhar nos eventos, desde as confraternizações do trabalho até as celebrações de Ano Novo",https://www.instagram.com/p/DR2FWNCjjrZ/
Live Vila Mascote,@livevilamascote,"Moda, Calcados & Acessorios","Moda, Calcados & Acessorios | Academias, Esportes & Bem-Estar",Moda fitness,Listar,,1,2026-05-14,,"Rua Palestina, 227 • Vila Mascote • São Paulo/SP",não,"A @livevilamascote acaba de chegar ao bairro trazendo toda a proposta que transformou a LIVE! em uma das maiores referências de moda fitness e lifestyle do Brasil. São peças que unem tecnologia, bem-estar e aquele visual moderno que vai da academia ao café, do treino à rotina. Além das roupas fitness, a loja também conta com opções casuais, acessórios e coleções cheias de personalidade para quem acredita que viver be",https://www.instagram.com/p/DYTH6Q1uPh6/
Marigonzalez,@marigonzalez,"Moda, Calcados & Acessorios","Academias, Esportes & Bem-Estar | Moda, Calcados & Acessorios",Moda/Acessórios,Revisar,Influenciadora/conteudo de campanha; provavelmente nao listar como estabelecimento.,1,2025-09-05,11910984249,"Rua Palestina, 178 – Vila Mascote, São Paulo/SP",não,"Quem mora na Mascote agora pode se inspirar no estilo da @marigonzalez com a nova coleção Hope Resort da @hope.vilamascote. 💛 Imagine um look que combina treino e momentos casuais com muito estilo! 🥰 A coleção traz peças no estilo athleisure: tops, leggings, jaquetas, bermudas e macaquinhos, desenvolvidas com tecidos de alta compressão e design sofisticado, que valorizam cada biotipo. 👉 Passe na loja @hope.vilamascot",https://www.instagram.com/p/DOPA7iAjtx2/
Plakianca_plaadulto,@plakianca_plaadulto,"Moda, Calcados & Acessorios","Moda, Calcados & Acessorios",Moda,Listar,,4,2025-09-06,11982011429,"Avenida Santa Catarina, 372",sim,"A coleção primavera-verão da @plakianca_plaadulto está imperdível! Tem descontos de até 50% OFF em várias peças! 🥳🛍️ A loja fica aqui no bairro e trabalha com moda infantil e adulta feminina, tudo de alta qualidade das marcas mais desejadas, como Malwee, Hering, Lupo, Kyly, Milon, Carinhoso, entre outras. 👕👖👗🧥 Além da moda, a @plakianca_plaadulto conta com diversas opções de brinquedos e bonecas. 🧸🎠 O atendimento é e",https://www.instagram.com/p/DOQpHp3jrdi/; https://www.instagram.com/p/DM2lXbyOdsR/; https://www.instagram.com/p/DLufh4AuCXv/; https://www.instagram.com/p/DKmdxJGufkw/
Santalolla_vilamascote,@santalolla_vilamascote,"Moda, Calcados & Acessorios","Moda, Calcados & Acessorios",Calcados / acessorios,Listar,,1,2025-08-26,11972660767,"Avenida Santa Catarina, 1929 - Dentro do Shopping Thalia",sim,"🎫 10% OFF PARA AS NOSSAS SEGUIDORAS A @santalolla_vilamascote é aquela loja pra quem gosta de ficar estilosa e confortável ao mesmo tempo. 👠😉 A loja fica na Catarina, dentro @thaliaperfumaria e oferece uma grande variedade de calçados femininos e bolsas de altíssima qualidade, com design exclusivo.👜🥿 O atendimento é diferenciado com consultoras especializadas, além de serviços de delivery. 🏍️🛍️ Corre lá na @santaloll",https://www.instagram.com/p/DN1PvJrXJQR/
Tres Chic Acessorios,@tres_chic_acessorios,"Moda, Calcados & Acessorios","Saude & Clinicas | Moda, Calcados & Acessorios | Mercados, Emporios & Conveniencia",Otica,Listar,,12,2026-05-27,11930339928,"Avenida Mascote, 871",não,"🎫 ENTREGA GRÁTIS NA REGIÃO ACIMA DE R$ 200,00 A @tres_chic_acessorios é aquele tipo de lugar que transforma o básico em algo marcante ✨💍 Sabe aquela produção mais simples do dia a dia? Ela ganha outra energia quando entra um acessório bem escolhido.💁🏻‍♀️ A loja tem uma unidade aqui na Mascote e trabalha com prata 925, semijoias de excelente qualidade, além de bolsas em couro legítimo, cintos e óculos de sol. 🕶️👝 O at",https://www.instagram.com/p/DY2oCUgtOuC/; https://www.instagram.com/p/DXm_R2AhG4r/; https://www.instagram.com/p/DWR9pMODrpp/; https://www.instagram.com/p/DVHQkzmDty1/; https://www.instagram.com/p/DT0NtmUDhPQ/; https://www.instagram.com/p/DSVCQXcjoDY/; https://www.instagram.com/p/DRVMWzoDjtV/; https://www.instagram.com/p/DQMfZvZDnuR/; https://www.instagram.com/p/DPFALPYjlwP/; https://www.instagram.com/p/DNlJqG7OGHw/; https://www.instagram.com/p/DMdGJOVOR2b/; https://www.instagram.com/p/DLXj0V8OVb5/
Usetboy,@usetboy,"Moda, Calcados & Acessorios","Moda, Calcados & Acessorios",Moda masculina,Listar,,2,2025-12-09,11988318811,"Avenida Santa Catarina, 1321",sim,"🎫 A LOJA TODA EM LIQUIDAÇÃO DE ATÉ 40% OFF NO PIX Em breve, a @usetboy vai mudar para um novo endereço aqui no bairro e a gente foi conferir a liquidação especial de fim de ano! 🤩🎄 A The Boy Clothing é uma loja masculina multimarca cheia de estilo e com peças exclusivas que vão do casual ao esporte fino. Toda semana tem novidade para você renovar o guarda-roupa ou garantir aquele presente especial. 👖👕 Ah, e se bater ",https://www.instagram.com/p/DSDl2xUgetR/; https://www.instagram.com/p/DM8mJc1uneg/
Zophimodas,@zophimodas,"Moda, Calcados & Acessorios","Moda, Calcados & Acessorios",Moda feminina,Listar,,1,2026-03-07,11972724433; 11941874997; 11914048383,"Avenida Vereador João de Lucca, 627 – em frente ao Colégio Emilie; Rua Olivia Guedes Penteado, 501",sim,"🎫 CONDIÇÕES ESPECIAIS NO PAGAMENTO À VISTA VIA PIX OU DINHEIRO A @zophimodas já está há 4 anos por aqui na Mascote e a gente foi visitar. Por lá, você encontra peças que unem moda, conforto e estilo.👗😍 O diferencial começa no espaço: um living superconfortável, café pra deixar a experiência ainda mais gostosa, ambiente acolhedor e atendimento impecável, daquele jeito que a gente ama.🛍️☕ Nas araras, tem diversos model",https://www.instagram.com/p/DVlVB9NjndV/
1 Ferrari,@1.ferrari,Pets,Pets,Hospital veterinário,Revisar,Profissional citado dentro de outro negocio; avaliar se entra separado ou como contato do Hovet.,1,2025-06-20,1155658980; 11948687641,"Avenida Damasceno Vieira, 711",não,"Você sabe com quantos anos um cão ou gato é considerado idoso? E qual a frequência ideal para realizar os check-ups neles nessa fase? 🤔🐕 O Dr. Guilherme @1.ferrari, médico veterinário do @hovetmascote, explica pra gente. 😊🐈‍⬛ O hospital veterinário que fica aqui no bairro funciona 24 horas por dia, todos os dias da semana, pronto para cuidar do seu peludo com todo o carinho e atenção que ele merece.🦴🏥 Além dos check-",https://www.instagram.com/p/DLIIPEcMqAX/
Doglandiadaycare,@doglandiadaycare,Pets,Saude & Clinicas | Pets,Psicologia / terapias,Listar,,3,2026-03-19,11966273221,"Rua Lacedemônia, 425",não,"A @doglandiadaycare está desde 2016 aqui no bairro. São duas casas com mais de 600m², onde os pets aproveitam o daycare e o hotel com atividades diárias, sempre separados por porte e acompanhados com muito carinho. 🐩🛝😍 Foram pioneiros no banho com ozônio e, em 2018, inauguraram um centro estético completíssimo com SPA de ofurô com hidromassagem, cromoterapia, banhos de ozônio e até uma máquina de secar pros peludos q",https://www.instagram.com/p/DWEbJl-Dv3j/; https://www.instagram.com/p/DRE7RxPjpBN/; https://www.instagram.com/p/DN3zwAuAAG8/
Hovet Mascote,@hovetmascote,Pets,Saude & Clinicas | Pets,Hospital veterinário,Listar,,7,2026-05-21,1155658980; 11948687641,"Avenida Damasceno Vieira, 711; Av. Damasceno Vieira, 711",não,"O @hovetmascote está completando 7 anos de história aqui na Vila Mascote. 🥳😍🐾 São 7 anos de muita dedicação e profissionalismo, com uma equipe multidisciplinar e especializada, sempre buscando os melhores tratamentos e resultados para o seu animal. ✅🤝 Para quem ainda não conhece, o hospital veterinário funciona 24 horas por dia, todos os dias da semana, pronto para cuidar de cães e gatos com todo o carinho e atenção ",https://www.instagram.com/p/DYmuB_Hurmd/; https://www.instagram.com/p/DVt8TMsl-jJ/; https://www.instagram.com/p/DTyUDwTjrF9/; https://www.instagram.com/p/DSaIFmDDg37/; https://www.instagram.com/p/DQ-EnN6AYju/; https://www.instagram.com/p/DPzaYusDhYL/; https://www.instagram.com/p/DOzDZEgjpjp/
Katia Csilva,@katia.csilva,Pets,Pets,Veterinario,Listar,,2,2026-04-17,1155658980; 11948687641,"Avenida Damasceno Vieira, 711",não,"Quer melhorar a qualidade de vida do seu gato? 🐈🤔 A Dra. @katia.csilva, médica veterinária especializada em medicina felina do @hovetmascote, explica pra gente no vídeo 5 cuidados essenciais. ☺️🏥 O hospital veterinário que fica aqui no bairro funciona 24 horas por dia, todos os dias da semana, pronto para cuidar do seu peludo com todo o carinho e atenção que ele merece.🦴🐩 O @hovetmascote disponibiliza diversos serviç",https://www.instagram.com/p/DXPIvJGjpv8/; https://www.instagram.com/p/DNTvalWufQf/
M Leticia,@m_leticia_,Pets,Saude & Clinicas | Pets,Hospital veterinário,Revisar,Profissional citado dentro de outro negocio; avaliar se entra separado ou como contato do Hovet.,1,2025-07-16,11948687641; 1155658980,"Avenida Damasceno Vieira, 711",não,"Você sabe qual a vantagem de ter um laboratório dentro do Hospital Veterinário? 🤔💉 A Dra. @m_leticia_, médica veterinária do @hovetmascote conta pra gente no vídeo. 🏥☺️ Além do laboratório, o hospital oferece uma variedade de serviços médicos veterinários, incluindo clínica médica geral, cirurgias, internação, raio-x, vacinas, ultrassom, atendimento de emergência e diversas especialidades para garantir que seu animal",https://www.instagram.com/p/DMLoA7WRR4t/
Mundinhooanimal,@mundinhooanimal,Pets,Pets | Festas & Eventos,Pet / evento pet,Listar,,1,2025-07-03,11946029518,"Rua Palestina, 80",não,"Já se prepara porque vai rolar a Festa Julina Pet mais fofa da Vila Mascote! 💛🐾 O @mundinhooanimal e a @vetcareclinicaanimal organizaram um arraiá pra lá de especial, e quem tem pet por aqui não vai querer ficar de fora!🐕🌽 Vai ter quadrilhinha pet, comidinhas típicas para os humanos da @bolosdetentacao_, brincadeiras da @superavilamascote, ensaio fotográfico com a @rodanthifotografia e até concurso de melhor traje ca",https://www.instagram.com/p/DLpiP6ds7rO/
Palomatsclerici,@palomatsclerici,Pets,Saude & Clinicas | Pets,Hospital veterinário,Revisar,Profissional citado dentro de outro negocio; avaliar se entra separado.,1,2026-02-14,11948687641; 1155658980,"Avenida Damasceno Vieira, 711",não,"Ver o nosso melhor amigo envelhecer é um privilégio, mas também requer cuidados. 🐕🐈 A Dra. @palomatsclerici, veterinária do @hovetmascote, explica melhor pra gente no vídeo. 🐾☺️ O hospital veterinário fica aqui no bairro e oferece uma variedade de serviços, incluindo clínica médica geral, medicina integrativa, cirurgias, internação, laboratório de análises clínicas, raio-x, ultrassom, atendimento de emergência e dive",https://www.instagram.com/p/DUvNYu5DnDs/
Petlandsp Vilamascote,@petlandsp.vilamascote,Pets,Pets | Festas & Eventos,Pet shop,Listar,,5,2026-05-13,11964739793,"Avenida Santa Catarina, 1.246; Av. Santa Catarina, 1246; Avenida Santa Catarina, 1246",não,"Já pode anotar aí: no dia 16/05, próximo sábado, tem mais uma Feira de Adoção de cães aqui na Mascote! 🐕🥰 A @petlandsp.vilamascote vai receber uma edição cheia de amor, patinhas e boas ações. É aquele tipo de evento que aquece o coração: dá pra adotar um novo melhor amigo ou doar ração comprada na loja, concorrer a prêmios e ajudar os peludinhos que continuam à espera de um lar. 🐾💞 Se você não puder adotar agora, pod",https://www.instagram.com/p/DYSqClEB38t/; https://www.instagram.com/p/DXuDUNRjleA/; https://www.instagram.com/p/DVZUrvhDp71/; https://www.instagram.com/p/DNymKhP3IvH/; https://www.instagram.com/p/DMvqpl-OYs-/
